game_id,season,week,team,def_value_pre,def_value_post
1999_01_ARI_PHI,1999,1,ARI,0.0,0.635
1999_02_ARI_MIA,1999,2,ARI,0.635,0.221
1999_03_SF_ARI,1999,3,ARI,0.221,0.299
1999_04_ARI_DAL,1999,4,ARI,0.299,-1.706
1999_05_NYG_ARI,1999,5,ARI,-1.706,-1.535
1999_06_WAS_ARI,1999,6,ARI,-1.535,-1.526
1999_08_NE_ARI,1999,8,ARI,-1.526,-2.731
1999_09_ARI_NYJ,1999,9,ARI,-2.731,-3.721
1999_10_DET_ARI,1999,10,ARI,-3.721,-5.636
1999_11_DAL_ARI,1999,11,ARI,-5.636,-5.641
1999_12_ARI_NYG,1999,12,ARI,-5.641,-5.332
1999_13_PHI_ARI,1999,13,ARI,-5.332,-6.846
1999_14_ARI_WAS,1999,14,ARI,-6.846,-5.931
1999_15_BUF_ARI,1999,15,ARI,-5.931,-6.316
1999_16_ARI_ATL,1999,16,ARI,-6.316,-7.938
1999_17_ARI_GB,1999,17,ARI,-7.938,-9.492
2000_01_ARI_NYG,2000,1,ARI,-6.084,-5.686
2000_02_DAL_ARI,2000,2,ARI,-5.686,-8.549
2000_04_GB_ARI,2000,4,ARI,-8.549,-10.162
2000_05_ARI_SF,2000,5,ARI,-10.162,-10.87
2000_06_CLE_ARI,2000,6,ARI,-10.87,-10.934
2000_07_PHI_ARI,2000,7,ARI,-10.934,-12.304
2000_08_ARI_DAL,2000,8,ARI,-12.304,-13.142
2000_09_NO_ARI,2000,9,ARI,-13.142,-12.546
2000_10_WAS_ARI,2000,10,ARI,-12.546,-10.915
2000_11_ARI_MIN,2000,11,ARI,-10.915,-13.343
2000_12_ARI_PHI,2000,12,ARI,-13.343,-14.141
2000_13_NYG_ARI,2000,13,ARI,-14.141,-14.658
2000_14_ARI_CIN,2000,14,ARI,-14.658,-14.122
2000_15_ARI_JAX,2000,15,ARI,-14.122,-15.838
2000_16_BAL_ARI,2000,16,ARI,-15.838,-13.316
2000_17_ARI_WAS,2000,17,ARI,-13.316,-12.184
2001_02_DEN_ARI,2001,2,ARI,-7.81,-8.907
2001_03_ATL_ARI,2001,3,ARI,-8.907,-11.551
2001_04_ARI_PHI,2001,4,ARI,-11.551,-12.381
2001_05_ARI_CHI,2001,5,ARI,-12.381,-11.291
2001_06_KC_ARI,2001,6,ARI,-11.291,-11.399
2001_07_ARI_DAL,2001,7,ARI,-11.399,-10.616
2001_08_PHI_ARI,2001,8,ARI,-10.616,-10.682
2001_09_NYG_ARI,2001,9,ARI,-10.682,-9.574
2001_10_DET_ARI,2001,10,ARI,-9.574,-11.325
2001_11_ARI_LAC,2001,11,ARI,-11.325,-14.22
2001_12_ARI_OAK,2001,12,ARI,-14.22,-14.754
2001_13_WAS_ARI,2001,13,ARI,-14.754,-15.642
2001_14_ARI_NYG,2001,14,ARI,-15.642,-15.514
2001_15_DAL_ARI,2001,15,ARI,-15.514,-15.044
2001_16_ARI_CAR,2001,16,ARI,-15.044,-15.467
2001_17_ARI_WAS,2001,17,ARI,-15.467,-15.126
2002_01_ARI_WAS,2002,1,ARI,-9.696,-11.907
2002_02_ARI_SEA,2002,2,ARI,-11.907,-13.473
2002_03_LAC_ARI,2002,3,ARI,-13.473,-12.924
2002_04_NYG_ARI,2002,4,ARI,-12.924,-11.304
2002_05_ARI_CAR,2002,5,ARI,-11.304,-10.73
2002_07_DAL_ARI,2002,7,ARI,-10.73,-8.908
2002_08_ARI_SF,2002,8,ARI,-8.908,-10.334
2002_09_LAR_ARI,2002,9,ARI,-10.334,-10.521
2002_10_SEA_ARI,2002,10,ARI,-10.521,-12.038
2002_11_ARI_PHI,2002,11,ARI,-12.038,-13.189
2002_12_OAK_ARI,2002,12,ARI,-13.189,-13.119
2002_13_ARI_KC,2002,13,ARI,-13.119,-13.777
2002_14_DET_ARI,2002,14,ARI,-13.777,-14.015
2002_15_ARI_LAR,2002,15,ARI,-14.015,-13.898
2002_16_SF_ARI,2002,16,ARI,-13.898,-12.762
2002_17_ARI_DEN,2002,17,ARI,-12.762,-13.637
2003_01_ARI_DET,2003,1,ARI,-8.741,-10.623
2003_02_SEA_ARI,2003,2,ARI,-10.623,-10.85
2003_03_GB_ARI,2003,3,ARI,-10.85,-11.569
2003_04_ARI_LAR,2003,4,ARI,-11.569,-12.814
2003_05_ARI_DAL,2003,5,ARI,-12.814,-13.949
2003_06_BAL_ARI,2003,6,ARI,-13.949,-13.156
2003_08_SF_ARI,2003,8,ARI,-13.156,-12.926
2003_09_CIN_ARI,2003,9,ARI,-12.926,-11.463
2003_10_ARI_PIT,2003,10,ARI,-11.463,-11.999
2003_11_ARI_CLE,2003,11,ARI,-11.999,-16.053
2003_12_LAR_ARI,2003,12,ARI,-16.053,-14.46
2003_13_ARI_CHI,2003,13,ARI,-14.46,-16.143
2003_14_ARI_SF,2003,14,ARI,-16.143,-19.772
2003_15_CAR_ARI,2003,15,ARI,-19.772,-19.765
2003_16_ARI_SEA,2003,16,ARI,-19.765,-18.401
2003_17_MIN_ARI,2003,17,ARI,-18.401,-17.598
2004_01_ARI_LAR,2004,1,ARI,-11.28,-12.157
2004_02_NE_ARI,2004,2,ARI,-12.157,-10.794
2004_03_ARI_ATL,2004,3,ARI,-10.794,-8.665
2004_04_NO_ARI,2004,4,ARI,-8.665,-8.509
2004_05_ARI_SF,2004,5,ARI,-8.509,-10.46
2004_07_SEA_ARI,2004,7,ARI,-10.46,-6.969
2004_08_ARI_BUF,2004,8,ARI,-6.969,-7.618
2004_09_ARI_MIA,2004,9,ARI,-7.618,-7.631
2004_10_NYG_ARI,2004,10,ARI,-7.631,-7.02
2004_11_ARI_CAR,2004,11,ARI,-7.02,-6.634
2004_12_NYJ_ARI,2004,12,ARI,-6.634,-7.243
2004_13_ARI_DET,2004,13,ARI,-7.243,-7.108
